date,open,high,low,close,year,month,day,day_name
2000-05-30,0.9302,0.9302,0.9302,0.9302,2000.0,5.0,30.0,Tuesday
2000-05-31,0.9315,0.9382,0.9151,0.9377,2000.0,5.0,31.0,Wednesday
2000-06-01,0.9376,0.938,0.9287,0.9315,2000.0,6.0,1.0,Thursday
2000-06-02,0.9313,0.9498,0.9308,0.9443,2000.0,6.0,2.0,Friday
2000-06-05,0.9444,0.9490000000000001,0.9416,0.9463,2000.0,6.0,5.0,Monday
2000-06-06,0.9462,0.9603,0.9456,0.9535,2000.0,6.0,6.0,Tuesday
2000-06-07,0.9537,0.9631,0.9537,0.9596,2000.0,6.0,7.0,Wednesday
2000-06-08,0.9594,0.9704,0.9512,0.9554,2000.0,6.0,8.0,Thursday
2000-06-09,0.9554,0.9559,0.9463,0.9505,2000.0,6.0,9.0,Friday
2000-06-12,0.9506,0.9562,0.9496,0.9534,2000.0,6.0,12.0,Monday
2000-06-13,0.9533,0.9628,0.953,0.9616,2000.0,6.0,13.0,Tuesday
2000-06-14,0.9615,0.9655,0.9571,0.958,2000.0,6.0,14.0,Wednesday
2000-06-15,0.958,0.9607,0.9504,0.9539,2000.0,6.0,15.0,Thursday
2000-06-16,0.9532,0.9662,0.9523,0.9649,2000.0,6.0,16.0,Friday
2000-06-19,0.965,0.9694,0.9567,0.9583,2000.0,6.0,19.0,Monday
2000-06-20,0.9584,0.9617,0.9509,0.9516,2000.0,6.0,20.0,Tuesday
2000-06-21,0.9517,0.9534,0.9433,0.9467,2000.0,6.0,21.0,Wednesday
2000-06-22,0.9468,0.9476,0.9349,0.9365,2000.0,6.0,22.0,Thursday
2000-06-23,0.9364,0.9433,0.9342,0.9362,2000.0,6.0,23.0,Friday
2000-06-26,0.9361,0.9399,0.9299,0.9387,2000.0,6.0,26.0,Monday
2000-06-27,0.9388,0.9472,0.9374,0.9456,2000.0,6.0,27.0,Tuesday
2000-06-28,0.9454,0.9470000000000001,0.9394,0.9436,2000.0,6.0,28.0,Wednesday
2000-06-29,0.9435,0.9540000000000001,0.9418,0.9526,2000.0,6.0,29.0,Thursday
2000-06-30,0.9525,0.9604,0.9518,0.9545,2000.0,7.0,30.0,Friday
2000-07-03,0.9543,0.9545,0.9475,0.9482,2000.0,7.0,3.0,Monday
2000-07-04,0.9483,0.9531,0.9467,0.9524,2000.0,7.0,4.0,Tuesday
2000-07-05,0.9525,0.9573,0.9517,0.9531,2000.0,7.0,5.0,Wednesday
2000-07-06,0.9532,0.9598,0.9497,0.9505,2000.0,7.0,6.0,Thursday
2000-07-07,0.9504,0.9526,0.9459,0.95,2000.0,7.0,7.0,Friday
2000-07-10,0.9502,0.9557,0.9501,0.9545,2000.0,7.0,10.0,Monday
2000-07-11,0.9545,0.9569,0.9496,0.9504,2000.0,7.0,11.0,Tuesday
2000-07-12,0.9503,0.9517,0.9396,0.9417,2000.0,7.0,12.0,Wednesday
2000-07-13,0.9416,0.9425,0.9329999999999999,0.9354,2000.0,7.0,13.0,Thursday
2000-07-14,0.9353,0.9389,0.9318,0.9383,2000.0,7.0,14.0,Friday
2000-07-17,0.9382,0.9402,0.9342,0.9359999999999999,2000.0,7.0,17.0,Monday
2000-07-18,0.9361,0.9368,0.9227,0.9256,2000.0,7.0,18.0,Tuesday
2000-07-19,0.9255,0.927,0.9193,0.9246,2000.0,7.0,19.0,Wednesday
2000-07-20,0.9245,0.9342,0.9204,0.9325,2000.0,7.0,20.0,Thursday
2000-07-21,0.9324,0.9384,0.9319,0.9365,2000.0,7.0,21.0,Friday
2000-07-24,0.9366,0.9367,0.9313,0.9329999999999999,2000.0,7.0,24.0,Monday
2000-07-25,0.9329,0.9433,0.9329,0.9412,2000.0,7.0,25.0,Tuesday
2000-07-26,0.9411,0.945,0.9391,0.9435,2000.0,7.0,26.0,Wednesday
2000-07-27,0.9434,0.9444,0.9314,0.9319,2000.0,7.0,27.0,Thursday
2000-07-28,0.932,0.9338,0.9229,0.9241,2000.0,7.0,28.0,Friday
2000-07-31,0.9241,0.9295,0.9224,0.9274,2000.0,7.0,31.0,Monday
2000-08-01,0.9275,0.9293,0.9135,0.9168,2000.0,8.0,1.0,Tuesday
2000-08-02,0.9169,0.9192,0.9117,0.917,2000.0,8.0,2.0,Wednesday
2000-08-03,0.9167,0.9174,0.8997,0.905,2000.0,8.0,3.0,Thursday
2000-08-04,0.9047,0.9103,0.9015,0.9088,2000.0,8.0,4.0,Friday
2000-08-07,0.909,0.9114,0.9055,0.9083,2000.0,8.0,7.0,Monday
2000-08-08,0.9084,0.9084,0.8982,0.9009999999999999,2000.0,8.0,8.0,Tuesday
2000-08-09,0.9009,0.9028,0.8965,0.902,2000.0,8.0,9.0,Wednesday
2000-08-10,0.902,0.9098,0.902,0.9087,2000.0,8.0,10.0,Thursday
2000-08-11,0.9089,0.9145,0.9014,0.9029,2000.0,8.0,11.0,Friday
2000-08-14,0.9031,0.9075,0.9007,0.9067,2000.0,8.0,14.0,Monday
2000-08-15,0.9067,0.9166,0.9066,0.9161,2000.0,8.0,15.0,Tuesday
2000-08-16,0.9159999999999999,0.9177,0.9066,0.9152,2000.0,8.0,16.0,Wednesday
2000-08-17,0.9151,0.9179999999999999,0.9119,0.9164,2000.0,8.0,17.0,Thursday
2000-08-18,0.9164,0.9184,0.9059,0.9076,2000.0,8.0,18.0,Friday
2000-08-21,0.9075,0.9079,0.9013,0.9025,2000.0,8.0,21.0,Monday
2000-08-22,0.9024,0.9035,0.8933,0.8936,2000.0,8.0,22.0,Tuesday
2000-08-23,0.8937,0.9043,0.8912,0.9015,2000.0,8.0,23.0,Wednesday
2000-08-24,0.9016,0.9055,0.8986,0.8993,2000.0,8.0,24.0,Thursday
2000-08-25,0.8994,0.9075,0.8979,0.9043,2000.0,8.0,25.0,Friday
2000-08-28,0.9043,0.9045,0.8985,0.8991,2000.0,8.0,28.0,Monday
2000-08-29,0.8992,0.9023,0.8916,0.8934,2000.0,8.0,29.0,Tuesday
2000-08-30,0.8933,0.8959,0.8872,0.8945,2000.0,8.0,30.0,Wednesday
2000-08-31,0.8944,0.8975,0.8841,0.8894,2000.0,8.0,31.0,Thursday
2000-09-01,0.8895,0.9024,0.8877,0.9018,2000.0,9.0,1.0,Friday
2000-09-04,0.9017,0.904,0.897,0.898,2000.0,9.0,4.0,Monday
2000-09-05,0.8981,0.8981,0.8851,0.8885,2000.0,9.0,5.0,Tuesday
2000-09-06,0.8884,0.8885,0.8640000000000001,0.8697,2000.0,9.0,6.0,Wednesday
2000-09-07,0.8696,0.8766,0.8639,0.8721,2000.0,9.0,7.0,Thursday
2000-09-08,0.872,0.8747,0.8621,0.8684,2000.0,9.0,8.0,Friday
2000-09-11,0.8685,0.8726,0.8571,0.8581,2000.0,9.0,11.0,Monday
2000-09-12,0.8582,0.8691,0.856,0.8631,2000.0,9.0,12.0,Tuesday
