date,open,high,low,close,year,month
2000-05-31,0.9302,0.9382,0.9151,0.9377,2000,5
2000-06-30,0.9376,0.9704,0.9287,0.9538,2000,6
2000-07-31,0.9526,0.9598,0.9193,0.9274,2000,7
2000-08-31,0.9275,0.9293,0.8841,0.8894,2000,8
2000-09-30,0.8895,0.904,0.8443,0.8825,2000,9
2000-10-31,0.8841,0.8861,0.8229,0.848,2000,10
2000-11-30,0.8481,0.877,0.8377,0.877,2000,11
2000-12-31,0.8769,0.9391,0.8705,0.9373,2000,12
2001-01-31,0.9470000000000001,0.9599,0.9117,0.9413,2001,1
2001-02-28,0.9414,0.9447,0.9018,0.9248,2001,2
2001-03-31,0.9249,0.9383,0.8757,0.8795,2001,3
2001-04-30,0.8758,0.9091,0.8719,0.8876,2001,4
2001-05-31,0.8877,0.9009999999999999,0.8445,0.8465,2001,5
2001-06-30,0.8466,0.8676,0.8414,0.8497,2001,6
2001-07-31,0.8499,0.8826,0.8353,0.8804,2001,7
2001-08-31,0.8803,0.9242,0.8744,0.9086,2001,8
2001-09-30,0.9094,0.9336,0.8828,0.91,2001,9
2001-10-31,0.9101,0.9244,0.8872,0.9008,2001,10
2001-11-30,0.9014,0.905,0.8757,0.8872,2001,11
2001-12-31,0.8955,0.915,0.8745,0.8911,2001,12
2002-01-31,0.8913,0.9141,0.8577,0.8628,2002,1
2002-02-28,0.8623,0.8785,0.8608,0.8641,2002,2
2002-03-31,0.8653,0.8862,0.8635,0.8737,2002,3
2002-04-30,0.8737,0.9046,0.8734,0.9004,2002,4
2002-05-31,0.9003,0.937,0.8998,0.9365,2002,5
2002-06-30,0.9329,0.9954,0.9306,0.9952,2002,6
2002-07-31,0.9951,1.0204,0.9745,0.9793,2002,7
2002-08-31,0.9792,0.992,0.9624,0.9814,2002,8
2002-09-30,0.9816,0.9992,0.9609,0.9876,2002,9
2002-10-31,0.9877,0.993,0.9689,0.9901,2002,10
2002-11-30,0.9902,1.0173,0.988,0.9946,2002,11
2002-12-31,0.9946,1.0504,0.9863,1.0503,2002,12
2003-01-31,1.0504,1.091,1.0338,1.0776,2003,1
2003-02-28,1.0794,1.0939,1.0666,1.08,2003,2
2003-03-31,1.0777,1.1086,1.0505,1.0914,2003,3
2003-04-30,1.0913,1.119,1.0563,1.1175,2003,4
2003-05-31,1.1174,1.1938,1.1156,1.1773,2003,5
2003-06-30,1.1717,1.1933,1.1401,1.1518,2003,6
2003-07-31,1.1517,1.1612,1.1115,1.1241,2003,7
2003-08-31,1.1241,1.1428,1.0795,1.0999,2003,8
2003-09-30,1.0998,1.1738,1.0766,1.1682,2003,9
2003-10-31,1.1682,1.1861,1.1537,1.1627,2003,10
2003-11-30,1.1593,1.204,1.1379,1.202,2003,11
2003-12-31,1.202,1.2648,1.194,1.2585,2003,12
2004-01-31,1.2590000000000001,1.29,1.2336,1.2473,2004,1
2004-02-29,1.2482,1.2931,1.2374,1.2505,2004,2
2004-03-31,1.2504,1.2543,1.2051,1.2281,2004,3
2004-04-30,1.228,1.2391,1.1763,1.1982,2004,4
2004-05-31,1.199,1.2298,1.1776,1.2197,2004,5
2004-06-30,1.2197,1.2355,1.1957,1.2164,2004,6
2004-07-31,1.2163,1.2464,1.1993,1.2023,2004,7
2004-08-31,1.2058,1.2392,1.1971,1.219,2004,8
2004-09-30,1.2191,1.2445,1.2028,1.2426,2004,9
